seed,experiment_slice,nx,ny,nz,battery_max,initial_battery,time_horizon,algorithm,success,path_cost,plan_length,wall_time_sec,visited_nodes,max_fringe_size,iterations,timeout,error
0,baseline,5,5,3,16,12,48,bfs,True,21.075,9,5.600906,3569,1622,3569,False,
0,baseline,5,5,3,16,12,48,dfs,True,78.575,24,0.142988,1049,104,1049,False,
0,baseline,5,5,3,16,12,48,ucs,True,20.5,9,3.729316,2267,1011,2267,False,
0,baseline,5,5,3,16,12,48,greedy,True,29.8,13,0.010183,93,60,93,False,
0,baseline,5,5,3,16,12,48,astar,True,20.5,9,0.029623,120,198,120,False,
1,baseline,5,5,3,16,12,48,bfs,True,21.075,9,3.690473,2814,1308,2814,False,
1,baseline,5,5,3,16,12,48,dfs,True,79.15,24,0.148005,1102,93,1102,False,
1,baseline,5,5,3,16,12,48,ucs,True,21.075,9,2.509116,1980,812,1980,False,
1,baseline,5,5,3,16,12,48,greedy,True,30.15,14,0.009523,120,59,120,False,
1,baseline,5,5,3,16,12,48,astar,True,21.075,9,0.037758,147,177,147,False,
2,baseline,5,5,3,16,12,48,bfs,False,,,0.027324,276,99,276,False,
2,baseline,5,5,3,16,12,48,dfs,False,,,0.014580,276,13,276,False,
2,baseline,5,5,3,16,12,48,ucs,False,,,0.048675,276,128,276,False,
2,baseline,5,5,3,16,12,48,greedy,False,,,0.018462,276,32,276,False,
2,baseline,5,5,3,16,12,48,astar,False,,,0.040139,276,86,276,False,
3,baseline,5,5,3,16,12,48,bfs,False,,,0.022271,268,88,268,False,
3,baseline,5,5,3,16,12,48,dfs,False,,,0.008765,268,13,268,False,
3,baseline,5,5,3,16,12,48,ucs,False,,,0.035209,268,111,268,False,
3,baseline,5,5,3,16,12,48,greedy,False,,,0.017995,268,39,268,False,
3,baseline,5,5,3,16,12,48,astar,False,,,0.035707,268,90,268,False,
4,baseline,5,5,3,16,12,48,bfs,True,21.65,9,0.391818,740,802,740,False,
4,baseline,5,5,3,16,12,48,dfs,True,80.30000000000001,24,0.271699,2227,93,2227,False,
4,baseline,5,5,3,16,12,48,ucs,True,21.075,9,0.336877,595,544,595,False,
4,baseline,5,5,3,16,12,48,greedy,True,21.65,9,0.001015,13,33,13,False,
4,baseline,5,5,3,16,12,48,astar,True,21.075,9,0.015214,85,115,85,False,
5,baseline,5,5,3,16,12,48,bfs,True,29.075,13,2.057673,2272,1192,2272,False,
5,baseline,5,5,3,16,12,48,dfs,True,79.15,24,0.051080,507,77,507,False,
5,baseline,5,5,3,16,12,48,ucs,True,29.075,13,1.820360,1715,718,1715,False,
5,baseline,5,5,3,16,12,48,greedy,True,30.575,14,0.010195,121,57,121,False,
5,baseline,5,5,3,16,12,48,astar,True,29.075,13,0.078784,333,109,333,False,
6,baseline,5,5,3,16,12,48,bfs,True,26.799999999999997,11,4.277535,3127,1543,3127,False,
6,baseline,5,5,3,16,12,48,dfs,True,79.22500000000001,25,0.503777,3729,100,3729,False,
